source,source_name,target,target_name,cost,name,source_location_type_id,target_location_type,,
107,Đông Khê,84,Cao Bằng,43,QL 4A,Thị Trấn,TP,1,2
107,Đông Khê,108,Thất Khê,23,QL 4A,Thị Trấn,Thị Trấn,2,2
108,Thất Khê,109,Na Sầm ,40,QL 4A,Thị Trấn,Thị Trấn,2,2
108,Thất Khê,90,Na Rì,45,QL 3B,Thị Trấn,Huyện,5,2
108,Thất Khê,91,Bình Gia,48,QL 1B,Thị Trấn,Thị Trấn,2,2
109,Na Sầm ,30,Đồng Đăng,16,QL 4A,Thị Trấn,Thị Trấn,2,2
30,Đồng Đăng,110,CK. Hữu Nghị,3,QL 1A,Thị Trấn,Cửa Khẩu,12,2
30,Đồng Đăng,29,Lạng Sơn,15,QL 1A,Thị Trấn,TP,1,2
29,Lạng Sơn,93,Chi Lăng,35,QL 1A,TP,Huyện,5,1
29,Lạng Sơn,111,Lộc Bình,22,QL 4B,TP,Thị Trấn,2,1
111,Lộc Bình,112,CK. Chi Ma,15,ĐT 236,Thị Trấn,Cửa Khẩu,12,2
111,Lộc Bình,113,Đình Lập,33,QL 4B,Thị Trấn,Thị Trấn,2,2
113,Đình Lập,114,Tiên Yên,45,QL 4B,Thị Trấn,Thị Trấn,2,2
113,Đình Lập,94,An Châu,48,QL 31,Thị Trấn,Xã,8,2
114,Tiên Yên,115,CK.Hoàng Mô,45,QL 18C,Thị Trấn,Cửa Khẩu,12,2
114,Tiên Yên,95,Hạ Long,81,QL 18,Thị Trấn,TP,1,2
114,Tiên Yên,116,Móng Cái,85,QL 18,Thị Trấn,TP,1,2
93,Chi Lăng,117,Kép,50,QL 1A,Huyện,Thị Trấn,2,5
117,Kép,28,Bắc Giang,18,QL 1A,Thị Trấn,TP,1,2
117,Kép,118,Lục Nam,20,QL 37,Thị Trấn,Huyện,5,2
117,Kép,119,Thái Nguyên,55,ĐT 265,Thị Trấn,TP,1,2
118,Lục Nam,28,Bắc Giang,22,QL 31,Huyện,TP,1,5
118,Lục Nam,120,Lục Ngạn,21,QL 31,Huyện,Huyện,5,5
118,Lục Nam,121,Chí Linh,26,QL 37,Huyện,Thị Xã,4,5
120,Lục Ngạn,94,An Châu,32,QL 31,Huyện,Thị Trấn,2,5
121,Chí Linh,27,Bắc Ninh,38,QL 18,Thị Xã,TP,1,4
121,Chí Linh,122,Nam Sách ,20,QL 37,Thị Xã,Thị Trấn,2,4
121,Chí Linh,123,Uông Bí,43,QL 18,Thị Xã,TP,1,4
123,Uông Bí,95,Hạ Long,45,QL 18,TP,TP,1,1
123,Uông Bí,124,An Lão,35,QL 10,TP,Thị Trấn,2,1
188,Nam Sách,125,Tiền Trung,3,QL 37,Thị Trấn,Chưa xác định,6,2
125,Tiền Trung,126,Hải Dương,65,QL 5,Chưa xác định,TP,1,6
